num_threads,vqe_runs,runtime(sec)
1,1,38594023
1,2,77232160
1,3,115294363
1,4,153451988
1,5,192240179
1,6,230292641
1,1,38286000
1,2,76783356
1,3,114622021
1,4,153310106
1,5,192564146
1,6,230179851
1,1,38188935
1,2,76536973
1,3,115232586
1,4,153427067
1,5,191692585
1,6,230353609
1,1,38084867
1,2,76369298
1,3,115205574
1,4,153374825
1,5,191560769
1,6,229976475
1,1,38308604
1,2,78993910
1,3,115240339
1,4,153232610
1,5,192406318
1,6,230248756
1,1,38230898
1,2,76500656
1,3,115141654
1,4,153103099
1,5,191929855
1,6,229601354
1,1,38404790
1,2,76544175
1,3,115019530
1,4,153534915
1,5,191931036
1,6,230535492
1,1,38254484
1,2,76482623
1,3,114983249
1,4,153793730
1,5,193697908
1,6,229820356
1,1,38403197
1,2,76923754
1,3,114770989
1,4,153383498
1,5,192208672
1,6,230186076
1,1,38344862
1,2,76509467
1,3,115114403
1,4,153684342
1,5,192059035
1,6,230363007
1,1,38122285
1,2,76572796
1,3,115032356
1,4,153780574
1,5,191818969
1,6,229777775
1,1,38190763
1,2,76639960
1,3,115507860
1,4,153308702
1,5,191993410
1,6,230371740
1,1,38218529
1,2,76671552
1,3,115268317
1,4,153601813
1,5,191901553
1,6,230191944
1,1,38531492
1,2,76613378
1,3,115302178
1,4,153668599
1,5,191905338
1,6,230059799
1,1,38260727
1,2,76919510
1,3,115354439
1,4,153426493
1,5,191778548
1,6,230244054
1,1,38617759
1,2,76530057
1,3,115035460
1,4,153334509
1,5,192118669
1,6,230939606
1,1,38322902
1,2,76567984
1,3,115333888
1,4,153372611
1,5,192107720
1,6,230221040
1,1,38409065
1,2,76601335
1,3,115161240
1,4,153907152
1,5,192042203
1,6,230085856
1,1,38591087
1,2,76768771
1,3,115336169
1,4,153571776
1,5,192321983
1,6,230095038
1,1,38704795
1,2,76873471
1,3,115469358
1,4,153763510
1,5,192456028
1,6,230722251
1,1,38375495
1,2,76493535
1,3,115335581
1,4,153482410
1,5,191406151
1,6,230323199
1,1,38306436
1,2,77022843
1,3,115166002
1,4,156163802
1,5,192279973
1,6,230278868
1,1,38377510
1,2,76952835
1,3,115224504
1,4,153927084
1,5,192007861
1,6,230439454
1,1,38442086
1,2,76781473
1,3,115063346
1,4,153246777
1,5,191704565
1,6,230365842
1,1,38441219
1,2,77028536
1,3,115438394
1,4,153859961
1,5,192023216
1,6,230507511
1,1,38478516
1,2,76911930
1,3,115167118
1,4,153669356
1,5,192026079
1,6,231344241
1,1,38482342
1,2,76641284
1,3,115448346
1,4,153557174
1,5,192351552
1,6,230778758
1,1,38266606
1,2,77072833
1,3,115019674
1,4,153682076
1,5,192462322
1,6,230456303
1,1,38376876
1,2,77095413
1,3,115518243
1,4,154733619
1,5,192469672
1,6,230642959
1,1,38503993
1,2,76993164
1,3,115508668
1,4,153960327
1,5,192375354
1,6,230560953
1,1,38518940
1,2,76837960
1,3,115249094
1,4,153794247
1,5,191962316
1,6,232725880
1,1,38949675
1,2,79565697
1,3,119639696
1,4,155084217
1,5,193089416
1,6,234034306
1,1,38931489
1,2,77625673
1,3,115915083
1,4,155028364
1,5,193673185
1,6,232879176
1,1,38676718
1,2,77167328
1,3,115759131
1,4,155194695
1,5,193186444
1,6,232698227
1,1,38760497
1,2,79871578
1,3,119015921
1,4,156536451
1,5,194445745
1,6,234250224
1,1,39319116
1,2,78846115
1,3,120223820
1,4,155627897
1,5,199763048
1,6,236346612
1,1,40446536
