num_threads,vqe_runs,runtime(us)
1,1,38236724
1,2,76581151
1,3,115080292
1,4,152996517
1,5,191702917
1,6,229452626
1,1,38219288
1,2,76454404
1,3,114883973
1,4,153278688
1,5,191975097
1,6,229832278
1,1,38286464
1,2,76826409
1,3,114727298
1,4,153138905
1,5,191072656
1,6,229505779
1,6,228725936
1,6,228812676
1,6,228884631
1,6,228371663
1,6,228293216
1,6,229392124
1,6,228790222
1,6,228685669
1,6,228399969
1,6,228515029
1,6,228983168
1,6,228826245
1,6,228936377
1,6,228581813
1,6,231349700
1,6,228492375
1,6,228722039
1,6,228478233
1,6,228433181
1,6,228895471
1,6,228599098
1,6,228319282
1,6,229138629
1,6,228839518
1,6,228832467
1,6,228980838
1,6,229043000
1,6,228534652
1,6,229106915
1,6,229016997
1,6,229180781
1,6,229001267
1,6,231344137
1,6,228975587
1,6,229068132
1,6,229468475
1,6,229414513
1,6,229098237
1,6,229367676
1,6,228859488
1,6,229372148
1,6,228899253
1,6,228336705
1,6,229284615
1,6,228684078
1,6,228933497
1,6,229538233
1,6,229255870
1,6,228748587
1,6,229256812
1,6,231682908
1,6,229127605
1,6,229343287
1,6,229249071
1,6,229203473
1,6,229109703
1,6,229019081
1,6,228783757
1,6,230194271
1,6,228966260
1,6,228888284
1,6,229281216
1,6,228969272
1,6,229008789
1,6,229645588
1,6,229750021
1,6,229041441
1,6,228978698
1,6,231003309
1,6,229560293
1,6,229075578
1,6,229252551
1,6,229345790
1,6,228670128
1,6,228907595
1,6,229025133
1,6,229603616
1,6,229313505
1,6,229681292
1,6,229495213
1,6,228881371
1,6,228577699
1,6,229024277
1,6,229064147
1,6,228655756
1,6,228904572
1,6,231732412
1,6,229258966
1,6,229740283
1,6,229495808
1,6,229400709
1,6,229667534
1,6,229304885
1,6,228934756
1,6,229865267
1,6,229522293
1,6,228976914
1,6,229027684
1,6,228736163
1,6,228844466
1,6,228907074
1,6,229250273
1,6,229674616
1,6,230127064
1,6,231415495
1,6,228959865
1,6,230056682
1,6,229040840
1,6,229618430
1,6,229218516
1,6,229119606
1,6,230053216
1,6,229361340
1,6,229840589
1,6,229598742
1,6,229244262
1,6,229338863
1,6,228909715
1,6,229246743
1,6,229989347
1,6,229225217
1,6,229632443
1,6,229184905
1,6,229192484
1,6,229652926
1,6,229416398
1,6,229597227
1,6,229580088
1,6,229679119
1,6,229020587
1,6,229724358
1,6,228889270
1,6,229226124
1,6,229334042
1,6,229416684
1,6,229580822
1,6,229559850
1,6,230251592
1,6,228903452
1,6,232167881
1,6,229650520
1,6,229652568
1,6,229596816
1,6,229595313
1,6,229716064
1,6,229336220
1,6,229386740
1,6,229283683
1,6,229255417
1,6,229577008
1,6,229907878
1,6,229385294
1,6,229924691
1,6,229476720
1,6,229524577
1,6,230538809
1,6,229371330
1,6,232152944
1,6,229920109
1,6,229357275
1,6,229653455
1,6,229651839
1,6,229711958
1,6,229563241
1,6,229703481
1,6,229846950
1,6,229170836
1,6,230852271
1,6,229508528
1,6,229559025
1,6,229759935
1,6,229401603
1,6,230562694
1,6,230553542
1,6,230199700
1,6,231923224
1,6,229725957
1,6,229589621
1,6,230869187
1,6,230039292
1,6,229342242
1,6,229415065
1,6,229787668
1,6,229487572
1,6,229874427
1,6,229990111
1,6,229466678
1,6,230622324
1,6,229892420
1,6,230029870
1,6,229751580
1,6,229669040
1,6,229676845
1,6,231780152
1,6,230141085
1,6,230081803
1,6,229818763
1,6,229877669
1,6,229978695
1,6,229948047
1,6,229402007
1,6,230028195
1,6,230106397
1,6,230430746
1,6,230039988
1,6,230148940
